기준_년분기_코드,상권_코드,당월_매출_금액,연령대_20_매출_금액
20243,3110207,809313617,278220184
20243,3110208,57256637,0
20243,3110210,3210711164,989636206
20243,3110211,2961602962,260714856
20243,3110213,106596188,17696257
20243,3110214,2176703224,875458357
20243,3110215,569021207,169373363
20243,3110216,3217141575,118165787
20243,3110219,9298564008,920980153
20243,3110220,10663834683,3029207814
20243,3110222,33000000,1593205
20243,3110224,2595095521,142956824
20243,3120063,47979078358,4674619285
20243,3120064,18906270732,5290188857
20243,3120065,9851020535,2850110405
20243,3130098,2478505008,778935612
20243,3130099,3496252425,201806111
20243,3130102,181878182,13808323
20243,3130103,404949776,13503437
20244,3110200,253428000,13055799
20244,3110201,250624121,11044479
20244,3110202,150995884,4934989
20244,3110203,901226158,159544175
20244,3110205,5024575943,1856733212
20244,3110206,1423253418,156342628
20244,3110207,781077135,269478463
20244,3110208,50088496,0
20244,3110210,3352619178,1110826745
20244,3110211,3050687159,316207658
20244,3110213,139550017,22245906
20244,3110214,2654715955,1140116290
20244,3110215,592039961,186206413
20244,3110216,3351623107,139394124
20244,3110219,9791353719,1015199773
20244,3110220,11976044199,3678767057
20244,3110222,33000000,1437006
20244,3110224,2920857271,156402134
20244,3120063,49898331226,4703267085
20244,3120064,20553810231,5922378195
20244,3120065,9860463971,2990188393
20244,3130098,2641001681,815113093
20244,3130099,3266707494,285110466
20244,3130102,185773159,21013884
20244,3130103,419910373,12624068
